# Z 78 rho 21.4494 A(Z) 195.085
139.7 0.11 0.09735 1.951 0 0 2.15835
141.7 0.1073 0.09715 1.875 0 0 2.07945
143.7 0.1046 0.09694 1.803 0 0 2.00454
145.7 0.102 0.09673 1.735 0 0 1.93373
147.7 0.09957 0.09652 1.67 0 0 1.86609
149.7 0.09719 0.09631 1.609 0 0 1.8025
150 0.0969 0.09628 1.602 0 0 1.79518
151.8 0.0949 0.0961 1.551 0 0 1.742
153.8 0.09269 0.09588 1.496 0 0 1.68457
155.8 0.09056 0.09567 1.444 0 0 1.63023
157.8 0.08851 0.09545 1.394 0 0 1.57796
159.8 0.08652 0.09524 1.347 0 0 1.52876
161.8 0.0846 0.09502 1.303 0 0 1.48262
163.8 0.08275 0.09481 1.26 0 0 1.43756
165.8 0.08096 0.09459 1.219 0 0 1.39455
167.8 0.07922 0.09437 1.18 0 0 1.35359
169.9 0.07755 0.09415 1.143 0 0 1.3147
171.9 0.07593 0.09394 1.108 0 0 1.27787
173.9 0.07435 0.09372 1.074 0 0 1.24207
175.9 0.07283 0.0935 1.042 0 0 1.20833
177.9 0.07136 0.09328 1.011 0 0 1.17564
179.9 0.06993 0.09307 0.981 0 0 1.144
181.9 0.06854 0.09285 0.9525 0 0 1.11389
183.9 0.0672 0.09263 0.9251 0 0 1.08493
185.9 0.06589 0.09242 0.8989 0 0 1.05721
187.9 0.06463 0.0922 0.8736 0 0 1.03043
189.9 0.0634 0.09198 0.8493 0 0 1.00468
192 0.0622 0.09177 0.826 0 0 0.97997
194 0.06105 0.09155 0.8035 0 0 0.9561
196 0.05992 0.09134 0.7818 0 0 0.93306
198 0.05882 0.09113 0.761 0 0 0.91095
200 0.05776 0.09091 0.7409 0 0 0.88957
300 0.02751 0.08137 0.2536 0 0 0.36248
400 0.01604 0.07396 0.1218 0 0 0.2118
500 0.01048 0.06813 0.0706 0 0 0.14921
600 0.007381 0.06335 0.04609 0 0 0.116821
800 0.004226 0.05597 0.02437 0 0 0.084566
1000 0.002732 0.0505 0.01533 0 0 0.068562
1022 0.002617 0.04998 0.01468 0 0 0.067277
1250 0.001762 0.04526 0.0099 0.000351 0 0.057273
1500 0.001229 0.04118 0.007054 0.001657 0 0.05112
2000 0.0006952 0.03519 0.004269 0.005066 0 0.0452202
2044 0.0006656 0.03476 0.004115 0.005371 0 0.0449116
3000 0.0003102 0.02772 0.002235 0.01132 9.687e-06 0.0415949
4000 0.0001748 0.02314 0.001465 0.01643 3.948e-05 0.0412493
5000 0.0001119 0.01999 0.001075 0.02071 7.853e-05 0.0419654
6000 7.776e-05 0.01767 0.0008431 0.02439 0.0001204 0.0431013
7000 5.714e-05 0.01588 0.0006909 0.02764 0.000162 0.04443
8000 4.377e-05 0.01446 0.0005838 0.03056 0.0002022 0.0458498
9000 3.457e-05 0.01329 0.0005047 0.03322 0.0002407 0.04729
10000 2.801e-05 0.01231 0.0004442 0.03565 0.0002771 0.0487093
