# SiC
# rho 3.16 Z 12.5485
   1.8390000e+00   1.7470000e+00   3.1840000e-02   2.3510000e+03
   2.4224853e+00   1.5327398e+00   4.3665952e-02   1.3523515e+03
   3.0059706e+00   1.3503750e+00   5.4046693e-02   7.0745731e+02
   3.5894560e+00   1.2064198e+00   6.2823268e-02   4.4001091e+02
   4.1729413e+00   1.0884337e+00   7.0420934e-02   2.9208794e+02
   4.7564266e+00   9.9060730e-01   7.7049387e-02   2.0264659e+02
   5.3399119e+00   9.0606321e-01   8.2991150e-02   1.4637088e+02
   5.9233973e+00   8.3244394e-01   8.8335198e-02   1.0882989e+02
   6.5068826e+00   7.6758729e-01   9.3168566e-02   8.4944850e+01
   7.0903679e+00   7.0792685e-01   9.7686510e-02   6.6072154e+01
   7.6738532e+00   6.5371483e-01   1.0188921e-01   5.1897061e+01
   8.2573386e+00   6.0491458e-01   1.0579038e-01   4.1959555e+01
   8.8408239e+00   5.5963187e-01   1.0948095e-01   3.4104056e+01
   9.4243092e+00   5.1880333e-01   1.1289561e-01   2.8007255e+01
   1.0007795e+01   4.8398065e-01   1.1593780e-01   2.3796591e+01
   1.0591280e+01   4.5339687e-01   1.1871845e-01   2.0711689e+01
   1.1174765e+01   4.2445551e-01   1.2139485e-01   1.7945621e+01
   1.1758250e+01   3.9722735e-01   1.2395484e-01   1.5489291e+01
   1.2341736e+01   3.7178322e-01   1.2638626e-01   1.3333606e+01
   1.2925221e+01   3.4819390e-01   1.2867695e-01   1.1469470e+01
   1.3508706e+01   3.2653019e-01   1.3081476e-01   9.8877883e+00
   1.4092192e+01   3.0686290e-01   1.3278751e-01   8.5794663e+00
   1.4675677e+01   2.8926284e-01   1.3458307e-01   7.5354091e+00
   1.5259162e+01   2.7367626e-01   1.3620249e-01   6.7290972e+00
   1.5842648e+01   2.5920827e-01   1.3773510e-01   6.0221440e+00
   1.6426133e+01   2.4567229e-01   1.3919307e-01   5.3853830e+00
   1.7009618e+01   2.3307338e-01   1.4056803e-01   4.8173280e+00
   1.7593104e+01   2.2141660e-01   1.4185162e-01   4.3164928e+00
   1.8176589e+01   2.1070702e-01   1.4303546e-01   3.8813911e+00
   1.8760074e+01   2.0094969e-01   1.4411119e-01   3.5105368e+00
   1.9343560e+01   1.9214967e-01   1.4507045e-01   3.2024434e+00
   1.9927045e+01   1.8431203e-01   1.4590487e-01   2.9556249e+00
   2.0510530e+01   1.7718194e-01   1.4664961e-01   2.7502885e+00
   2.1094016e+01   1.7034473e-01   1.4736989e-01   2.5565425e+00
   2.1677501e+01   1.6378994e-01   1.4806556e-01   2.3737844e+00
   2.2260986e+01   1.5751234e-01   1.4873558e-01   2.2017888e+00
   2.2844472e+01   1.5150676e-01   1.4937893e-01   2.0403304e+00
   2.3427957e+01   1.4576799e-01   1.4999456e-01   1.8891836e+00
   2.4011442e+01   1.4029084e-01   1.5058145e-01   1.7481232e+00
   2.4594928e+01   1.3507011e-01   1.5113857e-01   1.6169237e+00
   2.5178413e+01   1.3010059e-01   1.5166489e-01   1.4953597e+00
   2.5761898e+01   1.2537710e-01   1.5215937e-01   1.3832059e+00
   2.6345384e+01   1.2089444e-01   1.5262098e-01   1.2802368e+00
   2.6928869e+01   1.1664740e-01   1.5304869e-01   1.1862270e+00
   2.7512354e+01   1.1263079e-01   1.5344148e-01   1.1009512e+00
   2.8095840e+01   1.0883942e-01   1.5379830e-01   1.0241839e+00
   2.8679325e+01   1.0526808e-01   1.5411813e-01   9.5569981e-01
   2.9262810e+01   1.0191158e-01   1.5439993e-01   8.9527347e-01
   2.9846295e+01   9.8764727e-02   1.5464268e-01   8.4267948e-01
   3.0429781e+01   9.5800716e-02   1.5485559e-01   7.9633912e-01
   3.1013266e+01   9.2959644e-02   1.5506378e-01   7.5263928e-01
   3.1596751e+01   9.0234629e-02   1.5526742e-01   7.1132855e-01
   3.2180237e+01   8.7621563e-02   1.5546535e-01   6.7233033e-01
   3.2763722e+01   8.5116337e-02   1.5565644e-01   6.3556801e-01
   3.3347207e+01   8.2714844e-02   1.5583954e-01   6.0096500e-01
   3.3930693e+01   8.0412975e-02   1.5601350e-01   5.6844469e-01
   3.4514178e+01   7.8206622e-02   1.5617717e-01   5.3793048e-01
   3.5097663e+01   7.6091678e-02   1.5632941e-01   5.0934577e-01
   3.5681149e+01   7.4064033e-02   1.5646907e-01   4.8261396e-01
   3.6264634e+01   7.2119581e-02   1.5659501e-01   4.5765845e-01
   3.6848119e+01   7.0254213e-02   1.5670608e-01   4.3440263e-01
   3.7431605e+01   6.8463820e-02   1.5680113e-01   4.1276990e-01
   3.8015090e+01   6.6744296e-02   1.5687901e-01   3.9268366e-01
   3.8598575e+01   6.5091531e-02   1.5693859e-01   3.7406732e-01
   3.9182061e+01   6.3501418e-02   1.5697870e-01   3.5684426e-01
   3.9765546e+01   6.1969848e-02   1.5699822e-01   3.4093789e-01
   4.0349031e+01   6.0491827e-02   1.5699912e-01   3.2617672e-01
   4.0932517e+01   5.9060823e-02   1.5699386e-01   3.1211659e-01
   4.1516002e+01   5.7675181e-02   1.5698408e-01   2.9869538e-01
   4.2099487e+01   5.6333725e-02   1.5697005e-01   2.8589539e-01
   4.2682973e+01   5.5035279e-02   1.5695204e-01   2.7369890e-01
   4.3266458e+01   5.3778666e-02   1.5693032e-01   2.6208820e-01
   4.3849943e+01   5.2562711e-02   1.5690517e-01   2.5104557e-01
   4.4433429e+01   5.1386237e-02   1.5687686e-01   2.4055330e-01
   4.5016914e+01   5.0248068e-02   1.5684565e-01   2.3059368e-01
